mike@workstation:~/workspace/assassin$ bin/gcc-5.4.0/release/assassin
15/ 0,   +3.85 p,   9.65 s,   74933799 N,  7761499 N/s, d4b6



mike@workstation:~/workspace/assassin$ bin/gcc-5.4.0/release/assassin
 1/ 0,   +0.02 p,   0.00 s,         34 N,  2163675 N/s, d7d5
 2/ 0,   -0.06 p,   0.00 s,        129 N,  1142290 N/s, d7d5
 3/ 0,   +0.01 p,   0.00 s,        913 N,  3666976 N/s, d7d5
 4/ 0,   -0.06 p,   0.00 s,       4364 N,  4077643 N/s, d7d5
 5/ 0,   +0.08 p,   0.00 s,      25561 N,  5729405 N/s, d7d5
 6/ 0,   -0.07 p,   0.03 s,     140232 N,  5082370 N/s, d7d5
 7/ 0,   +0.01 p,   0.13 s,     649006 N,  5080749 N/s, d7d5
 8/ 0,   -0.05 p,   0.51 s,    2439588 N,  4822076 N/s, d7d5
 9/ 0,   +0.06 p,   1.73 s,    9111373 N,  5261554 N/s, d7d5
10/ 0,   -0.06 p,   9.87 s,   47219303 N,  4785298 N/s, d7d5
11/ 0,   +0.01 p,  37.13 s,  182526179 N,  4915950 N/s, d7d5

 1/ 0,   +1.08 p,   0.00 s,        104 N,  4405659 N/s, f3b3
 2/ 0,   +0.83 p,   0.00 s,        549 N,  4070858 N/s, f3b3
 3/ 0,   +0.99 p,   0.00 s,       2939 N,  6996170 N/s, f3b3
 4/ 0,   +0.87 p,   0.00 s,      13958 N,  4415562 N/s, f3b3
 5/ 0,   +0.93 p,   0.01 s,      85385 N,  6487603 N/s, f1f2
 6/ 0,   +1.00 p,   0.12 s,     537564 N,  4401087 N/s, f1f2
 7/ 0,   +1.05 p,   0.28 s,    1809239 N,  6492173 N/s, f1f2
 8/ 0,   +1.04 p,   3.17 s,   14344222 N,  4521504 N/s, f3b3
 9/ 0,   +1.04 p,   7.43 s,   47924925 N,  6452967 N/s, f3b3
10/ 0,   +0.99 p,  44.22 s,  191378884 N,  4327769 N/s, b2b3

 1/ 0,   -0.11 p,   0.00 s,         39 N,  3018576 N/s, d4c3
 2/ 0,   -0.15 p,   0.00 s,        163 N,  2628311 N/s, d4c3
 3/ 0,   -0.09 p,   0.00 s,        620 N,  5396654 N/s, d4c3
 4/ 0,   -0.09 p,   0.00 s,       1680 N,  5355094 N/s, d4c3
 5/ 0,   -0.03 p,   0.00 s,       7131 N,  7429061 N/s, d4c3
 6/ 0,   -0.03 p,   0.00 s,      20175 N,  6424586 N/s, d4c3
 7/ 0,   -0.03 p,   0.01 s,      55157 N,  6483624 N/s, d4c3
 8/ 0,   -0.04 p,   0.03 s,     183194 N,  6220419 N/s, d4c3
 9/ 0,   -0.01 p,   0.13 s,     891209 N,  6794944 N/s, d4e3
10/ 0,   -0.06 p,   0.38 s,    2603644 N,  6886813 N/s, d4e3
11/ 0,   -0.02 p,   0.94 s,    7133615 N,  7573761 N/s, d4e3
12/ 0,   +3.43 p,   3.29 s,   25338810 N,  7697583 N/s, d4b6
