mike@workstation:~/workspace/assassin$ bin/gcc-5.4.0/release/assassin
 5/ 0,   +0.20 p,   0.01 s,      79333 N,  7424961 N/s, e6d6
 6/ 0,   +0.18 p,   0.06 s,     328209 N,  5387680 N/s, e6d6
 7/ 0,   +0.20 p,   0.17 s,    1310323 N,  7854746 N/s, e6d6
 8/ 0,   +0.14 p,   0.98 s,    5219042 N,  5340405 N/s, d3a6
 9/ 0,   +0.13 p,   2.41 s,   19192876 N,  7963685 N/s, d3a6
10/ 0,   +0.14 p,  12.73 s,   62950447 N,  4946515 N/s, d3a6
11/ 0,   +0.20 p,  30.74 s,  236623024 N,  7696861 N/s, e6d6

mike@workstation:~/workspace/assassin$ 


+ NullMovePruning

mike@workstation:~/workspace/assassin$ bin/gcc-5.4.0/release/assassin
 1/ 0,   +0.02 p,   0.00 s,         33 N,  2036785 N/s, d7d5
 2/ 0,   -0.06 p,   0.00 s,        173 N,  1665848 N/s, d7d5
 3/ 0,   +0.01 p,   0.00 s,       1048 N,  4702546 N/s, d7d5
 4/ 0,   -0.06 p,   0.00 s,       2964 N,  5990141 N/s, d7d5
 5/ 0,   +0.08 p,   0.00 s,      15142 N,  6250147 N/s, d7d5
 6/ 0,   -0.07 p,   0.01 s,      63586 N,  6447778 N/s, d7d5
 7/ 0,   +0.01 p,   0.05 s,     328716 N,  6119983 N/s, d7d5
 8/ 0,   -0.05 p,   0.13 s,     849109 N,  6641171 N/s, d7d5
 9/ 0,   +0.06 p,   0.48 s,    2878668 N,  5984216 N/s, d7d5
10/ 0,   -0.06 p,   1.58 s,   10046336 N,  6372657 N/s, d7d5
11/ 0,   +0.01 p,   6.29 s,   37077853 N,  5892303 N/s, d7d5

 1/ 0,   +1.08 p,   0.00 s,        114 N,  4663721 N/s, f3b3
 2/ 0,   +0.83 p,   0.00 s,        513 N,  4178273 N/s, f3b3
 3/ 0,   +0.99 p,   0.00 s,       2582 N,  7812854 N/s, f3b3
 4/ 0,   +0.87 p,   0.00 s,      15463 N,  5823603 N/s, f3b3
 5/ 0,   +0.93 p,   0.01 s,      82412 N,  7675821 N/s, f1f2
 6/ 0,   +1.00 p,   0.07 s,     388409 N,  5347336 N/s, f1f2
 7/ 0,   +1.05 p,   0.19 s,    1527514 N,  7908001 N/s, f1f2
 8/ 0,   +1.04 p,   1.86 s,    9819406 N,  5277402 N/s, f3b3
 9/ 0,   +1.04 p,   4.78 s,   36003566 N,  7533203 N/s, f3b3
10/ 0,   +0.99 p,  36.11 s,  195953355 N,  5427007 N/s, b2b3

 1/ 0,   -0.11 p,   0.00 s,         38 N,  3238452 N/s, d4c3
 2/ 0,   -0.15 p,   0.00 s,        103 N,  2134272 N/s, d4c3
 3/ 0,   -0.09 p,   0.00 s,        475 N,  5334321 N/s, d4c3
 4/ 0,   -0.09 p,   0.00 s,       1040 N,  5958895 N/s, d4c3
 5/ 0,   -0.03 p,   0.00 s,       3612 N,  7421226 N/s, d4c3
 6/ 0,   -0.03 p,   0.00 s,       7859 N,  8141907 N/s, d4c3
 7/ 0,   -0.03 p,   0.00 s,      15926 N,  8088714 N/s, d4c3
 8/ 0,   -0.04 p,   0.01 s,      59200 N,  8052070 N/s, d4c3
 9/ 0,   -0.03 p,   0.02 s,     173259 N,  7439776 N/s, d4e3
10/ 0,   -0.06 p,   0.07 s,     507467 N,  7768040 N/s, d4c3
11/ 0,   -0.02 p,   0.14 s,    1163168 N,  8246906 N/s, d4e3
12/ 0,   -0.06 p,   0.33 s,    2568695 N,  7848118 N/s, d4e3
13/ 0,   -0.02 p,   0.83 s,    7155730 N,  8615094 N/s, d4e3
14/ 0,   +3.55 p,   2.61 s,   21978135 N,  8420479 N/s, d4b6
15/ 0,   +3.61 p,   5.56 s,   56452284 N, 10150433 N/s, d4b6
16/ 0,   +3.86 p,   7.24 s,   68813442 N,  9501510 N/s, d4b6

 1/ 0,   +0.22 p,   0.00 s,        194 N,  5331720 N/s, e6d6
 2/ 0,   +0.17 p,   0.00 s,        611 N,  4027898 N/s, e6d6
 3/ 0,   +0.19 p,   0.00 s,       4310 N,  7180927 N/s, e6d6
 4/ 0,   +0.18 p,   0.00 s,      15312 N,  5145037 N/s, e6d6
 5/ 0,   +0.20 p,   0.01 s,      70584 N,  7927302 N/s, e6d6
 6/ 0,   +0.18 p,   0.06 s,     295889 N,  5107939 N/s, e6d6
 7/ 0,   +0.20 p,   0.14 s,    1120394 N,  7935593 N/s, e6d6
 8/ 0,   +0.19 p,   0.79 s,    4223967 N,  5358734 N/s, e6d6
 9/ 0,   +0.13 p,   2.10 s,   17204112 N,  8180327 N/s, d3a6
10/ 0,   +0.14 p,   7.89 s,   40551122 N,  5139150 N/s, d3a6
11/ 0,   +0.20 p,  15.71 s,  123321004 N,  7849377 N/s, e6d6



mike@workstation:~/workspace/assassin$ bin/gcc-5.4.0/release/assassin
 1/ 0,   +0.02 p,   0.00 s,         33 N,  2684673 N/s, d7d5
 2/ 0,   -0.06 p,   0.00 s,        173 N,  1756826 N/s, d7d5
 3/ 0,   +0.01 p,   0.00 s,       1048 N,  4934528 N/s, d7d5
 4/ 0,   -0.06 p,   0.00 s,       2964 N,  6174035 N/s, d7d5
 5/ 0,   +0.08 p,   0.00 s,      15142 N,  6302685 N/s, d7d5
 6/ 0,   -0.07 p,   0.01 s,      63586 N,  6664639 N/s, d7d5
 7/ 0,   +0.01 p,   0.05 s,     328716 N,  6153095 N/s, d7d5
 8/ 0,   -0.05 p,   0.13 s,     849109 N,  6717419 N/s, d7d5
 9/ 0,   +0.06 p,   0.48 s,    2878668 N,  6052244 N/s, d7d5
10/ 0,   -0.06 p,   1.56 s,   10046336 N,  6419600 N/s, d7d5
11/ 0,   +0.01 p,   6.24 s,   37077853 N,  5945387 N/s, d7d5
12/ 0,   -0.08 p,  30.85 s,  209604374 N,  6793703 N/s, b8c6

 1/ 0,   +1.08 p,   0.00 s,        114 N,  4887250 N/s, f3b3
 2/ 0,   +0.83 p,   0.00 s,        513 N,  4457187 N/s, f3b3
 3/ 0,   +0.99 p,   0.00 s,       2582 N,  8024889 N/s, f3b3
 4/ 0,   +0.87 p,   0.00 s,      15463 N,  5850252 N/s, f3b3
 5/ 0,   +0.93 p,   0.01 s,      82412 N,  7799857 N/s, f1f2
 6/ 0,   +1.00 p,   0.07 s,     388409 N,  5513523 N/s, f1f2
 7/ 0,   +1.05 p,   0.19 s,    1527514 N,  8099542 N/s, f1f2
 8/ 0,   +1.04 p,   1.77 s,    9819406 N,  5547833 N/s, f3b3
 9/ 0,   +1.04 p,   4.64 s,   36003566 N,  7758543 N/s, f3b3
10/ 0,   +0.99 p,  35.24 s,  195953355 N,  5561202 N/s, b2b3

 1/ 0,   -0.11 p,   0.00 s,         38 N,  3297752 N/s, d4c3
 2/ 0,   -0.15 p,   0.00 s,        103 N,  2449872 N/s, d4c3
 3/ 0,   -0.09 p,   0.00 s,        475 N,  5798269 N/s, d4c3
 4/ 0,   -0.09 p,   0.00 s,       1040 N,  6181572 N/s, d4c3
 5/ 0,   -0.03 p,   0.00 s,       3612 N,  7649576 N/s, d4c3
 6/ 0,   -0.03 p,   0.00 s,       7859 N,  8273650 N/s, d4c3
 7/ 0,   -0.03 p,   0.00 s,      15926 N,  8160245 N/s, d4c3
